code,name
LTU,Lithuania
CHL,Chile
BGR,Bulgaria
SVK,Slovakia
HRV,Croatia
USA,United States
ITA,Italy
GRC,Greece
HKG,Hong Kong
CZE,Czechia
LVA,Latvia
HUN,Hungary
POL,Poland
ESP,Spain
SVN,Slovenia
GBRTENW,England & Wales
CHE,Switzerland
AUT,Austria
EST,Estonia
NLD,Netherlands
KOR,South Korea
BEL,Belgium
PRT,Portugal
ISR,Israel
FIN,Finland
DEUTNP,Germany
TWN,Taiwan
ISL,Iceland
FRATNP,France
CAN,Canada
AUS,Australia
SWE,Sweden
IRL,Ireland
JPN,Japan
NOR,Norway
DNK,Denmark
NZL_NP,New Zealand
LUX,Luxembourg
