code,name,gdp_pc_2021_usd,gini,poverty_pct,group,trigger,source
NZL_NP,New Zealand,48781,0.32,,less,none,pnas2023_table1
SWE,Sweden,61029,0.276,0.6,less,none,pnas2023_table1
DNK,Denmark,68008,0.268,0.4,less,none,pnas2023_table1
NOR,Norway,89154,0.263,0.52,less,none,pnas2023_table1
KOR,South Korea,34998,0.331,0.74,less,none,pnas2023_table1
AUS,Australia,60443,0.318,0.74,less,none,pnas2023_table1
LUX,Luxembourg,133590,0.305,0.3,less,none,pnas2023_table1
ISL,Iceland,68728,0.25,0.04,less,none,pnas2023_table1
ISR,Israel,52171,0.342,2.47,less,none,pnas2023_table1
CHE,Switzerland,91992,0.316,0.14,less,none,pnas2023_table1
FIN,Finland,53655,0.265,0.1,less,none,pnas2023_table1
BEL,Belgium,51247,0.262,0.2,less,none,pnas2023_table1
CAN,Canada,51988,0.28,0.74,less,none,pnas2023_table1
DEUTNP,Germany,51204,0.296,0.5,less,none,pnas2023_table1
FRATNP,France,43659,0.292,0.11,less,none,pnas2023_table1
PRT,Portugal,24568,0.31,0.9,more,GDP<$30k,pnas2023_table1
NLD,Netherlands,57768,0.304,0.3,less,none,pnas2023_table1
SVN,Slovenia,29291,0.246,0.1,more,GDP<$30k,pnas2023_table1
ESP,Spain,30104,0.32,2.5,more,poverty>=2.5%,pnas2023_table1
HUN,Hungary,18728,0.286,1.8,more,GDP<$30k,pnas2023_table1
EST,Estonia,27944,0.305,1.3,more,GDP<$30k,pnas2023_table1
GBRTENW,England & Wales,46510,0.355,0.86,more,Gini>0.35,pnas2023_table1
AUT,Austria,53638,0.274,0.8,less,none,pnas2023_table1
ITA,Italy,35658,0.33,3.05,more,poverty>=2.5%,pnas2023_table1
HRV,Croatia,17685,0.292,1.8,more,GDP<$30k,pnas2023_table1
GRC,Greece,20193,0.308,3.4,more,GDP<$30k;poverty>=2.5%,pnas2023_table1
LVA,Latvia,21148,0.355,2.0,more,GDP<$30k;Gini>0.35,pnas2023_table1
SVK,Slovakia,21392,0.222,1.3,more,GDP<$30k,pnas2023_table1
CZE,Czechia,26821,0.248,0.3,more,GDP<$30k,pnas2023_table1
POL,Poland,18000,0.281,1.2,more,GDP<$30k,pnas2023_table1
LTU,Lithuania,23723,0.357,1.4,more,GDP<$30k;Gini>0.35,pnas2023_table1
CHL,Chile,16265,0.46,4.4,more,GDP<$30k;Gini>0.35;poverty>=2.5%,pnas2023_table1
USA,United States,70249,0.375,1.5,more,Gini>0.35,pnas2023_table1
BGR,Bulgaria,12222,0.408,8.2,more,GDP<$30k;Gini>0.35;poverty>=2.5%,pnas2023_table1
HKG,Hong Kong,49800,0.397,0.5,more,Gini>0.35,external: WB 2021 GDP; HK C&SD Gini (post-tax, post-social-transfer)
JPN,Japan,39830,0.334,0.7,less,none,external: WB 2021 GDP; OECD disposable-income Gini
TWN,Taiwan,33060,0.34,0.5,less,none,external: IMF 2021 GDP; TW DGBAS Gini
IRL,Ireland,100170,0.31,0.4,less,none,external: WB 2021 nominal GDP (note: GNI* ~55k due to multinationals); OECD Gini
